% Model:              Mismatch 1D e 2D - BH.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 8 2024, 17:43
% Table:              1D T and R alpha=0.2 - 1D T and R
% Mat index                                       freq (Hz)                                         point_in * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)    point_out * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)
1                                                 0.35000000000000003                               0.9275457178698612+0.1250165087501919i            -0.047041996951515834+0.3490227304272434i
1                                                 0.36000000000000004                               0.901979064642519+0.1519615447109428i             -0.06714408861944944+0.3985387421046731i
1                                                 0.37                                              0.8682789954129595+0.1597982526533685i            -0.08500395511800882+0.4618770759507267i
1                                                 0.38                                              0.8214768015289406+0.1433809457416068i            -0.09489804288879794+0.5437022444169716i
1                                                 0.39                                              0.750740840875596+0.09874550275390065i            -0.08517893356234685+0.6475971462884668i
1                                                 0.4                                               0.6369627812109769+0.02969264541413319i           -0.03587038420806887+0.7694868912587196i
1                                                 0.41000000000000003                               0.4588899599157273-0.03901282729225998i           0.07519172785323652+0.884445705471751i
1                                                 0.42000000000000004                               0.2210636931857642-0.057333643594718875i          0.24441311653978942+0.9423937202848883i
1                                                 0.43                                              -0.021148286547336023+0.0097171936355773i         0.41740176873263357+0.9084239592359146i
1                                                 0.44                                              -0.2051938876433036+0.1349306361519858i           0.5326048474500759+0.8099513994574381i
1                                                 0.45                                              -0.31926010006802874+0.2633110435820583i          0.5792295248323631+0.7023058034604251i
1                                                 0.46                                              -0.3862964522924091+0.3640913247552452i           0.5812674627405952+0.6167176789795704i
1                                                 0.47000000000000003                               -0.4292592859749431+0.4324240397752551i           0.5627451995948574+0.55862666914247i
1                                                 0.48000000000000004                               -0.4610651770113756+0.4735969149954347i           0.537690735481032+0.5234630235953278i
1                                                 0.49                                              -0.4871861837674868+0.49426013543372965i          0.5127516211482572+0.5054130145812721i
1                                                 0.5                                               -0.5092094799370677+0.4999149724779254i           0.4907905200627759+0.49991538409137903i
1                                                 0.51                                              -0.5269286552077771+0.4947086374858094i           0.47302967373775645+0.5038377568429063i
1                                                 0.52                                              -0.539330568678729+0.4817425973413371i            0.4601124281711018+0.5151147093302719i
1                                                 0.53                                              -0.5450052747373433+0.4633632885567859i           0.4526116646448608+0.532359276147262i
1                                                 0.54                                              -0.5422851553321072+0.4413212448528291i           0.45128610247713696+0.5545297369139288i
1                                                 0.55                                              -0.5292710922647142+0.4167828672844502i           0.45721667408025934+0.5806178371878409i
1                                                 0.56                                              -0.5038475715788324+0.3901873902906957i           0.4718518740019893+0.6093006170111306i
1                                                 0.5700000000000001                                -0.46379906942799304+0.3609432106906516i          0.4969077028636766+0.6385085462517762i
1                                                 0.5800000000000001                                -0.4071964816228921+0.3270061539039909i           0.5339790039032388+0.6649243783136597i
1                                                 0.59                                              -0.3332705900898715+0.2845455429686342i           0.5836563943698694+0.6836005872508869i
1                                                 0.6                                               -0.24385839230949863+0.22821884972102224i         0.6440677838235209+0.6882048603810008i
1                                                 0.61                                              -0.14490579631630657+0.15281536535505552i         0.7093629698518921+0.6726469717842796i
1                                                 0.62                                              -0.04650699429430044+0.0564361901432496i          0.7696617594260025+0.634249817005975i
1                                                 0.63                                              0.04007023310098717-0.05656036921795708i          0.8140166124245274+0.5766907818464387i
1                                                 0.64                                              0.10733572882084258-0.1759420778027291i           0.8353523154934503+0.5096174476480757i
1                                                 0.65                                              0.15456046853610228-0.2898952294744009i           0.833438486127682+0.4443558478286501i
1                                                 0.66                                              0.186448662866976-0.3896993158283399i             0.8135512450050052+0.38923736451211766i
1                                                 0.67                                              0.20950552319769838-0.4714452942241497i           0.7828312199869653+0.3478822587328821i
1                                                 0.68                                              0.22921515724357738-0.5349966186732876i           0.7474525050625536+0.3202402132454941i
1                                                 0.6900000000000001                                0.24904213141707457-0.5821565204496516i           0.7116163403589789+0.3044240362646192i
1                                                 0.7000000000000001                                0.2706181430670128-0.6153027279317448i            0.6777312639663886+0.29807500662571684i
1                                                 0.7100000000000001                                0.29430189043591176-0.6367018473150788i           0.6469682163645196+0.29904728627217825i
1                                                 0.72                                              0.31969260899825913-0.6482807814045537i           0.6197715491070429+0.30563358061992846i
1                                                 0.73                                              0.34598581103056447-0.6516175946025852i           0.5962150451025753+0.3165690172364126i
1                                                 0.74                                              0.37218774697731455-0.6480085238637304i           0.5762201049064051+0.3309556167709907i
1                                                 0.75                                              0.39723283318505476-0.6385445912153962i           0.5596809786735563+0.34817249084371243i
1                                                 0.76                                              0.4200415181581618-0.624172889348464i             0.546534993964496+0.3677945542388703i
1                                                 0.77                                              0.4395436025042718-0.6057356793511889i            0.5368027857935348+0.3895234161393929i
1                                                 0.78                                              0.45468248094720043-0.5839865422093519i           0.530612855848703+0.41312658999915874i
1                                                 0.79                                              0.46441039884706203-0.5595837368648975i           0.5282170941934446+0.4383785497489194i
1                                                 0.8                                               0.4676831346963366-0.533060058070111i             0.5299978779578716+0.46499649643208363i
1                                                 0.81                                              0.46346408292922586-0.5047678379125023i           0.5364614834559966+0.4925642927501459i
1                                                 0.8200000000000001                                0.4507522344906158-0.47479924141389857i           0.5482056831240422+0.5204408319821588i
1                                                 0.8300000000000001                                0.4286551059986974-0.44288852089976327i           0.5658416079409574+0.5476566903358222i
1                                                 0.8400000000000001                                0.39653275161909973-0.4083182910810166i           0.589844239044255+0.5728191060185305i
1                                                 0.85                                              0.3542335778545682-0.36987879970404286i           0.6203109970738082+0.5940728093461165i
1                                                 0.86                                              0.30241079390189296-0.3259616243669366i           0.6566396480356251+0.6091970790334995i
1                                                 0.87                                              0.24283546576149215-0.27488022898181363i          0.6972095608419046+0.6159306730771241i
1                                                 0.88                                              0.17852439168796952-0.21544813121261594i          0.7392480987456177+0.6125547826087536i
1                                                 0.89                                              0.11346186781350587-0.14767651145063346i          0.7791030927259313+0.5985953550680017i
1                                                 0.9                                               0.05183599344215438-0.073252700572745i            0.8130007883767506+0.575305812073971i
1                                                 0.91                                              -0.0029673068958528965+0.004558002767381545i      0.8380461533504324+0.5455722365230976i
1                                                 0.92                                              -0.04912001568569445+0.08164315040337121i         0.8529730960311647+0.5131846919518372i
1                                                 0.93                                              -0.0864821087268369+0.15404646911318656i          0.8582692755985288+0.48183440645206355i
1                                                 0.9400000000000001                                -0.11614186451261424+0.21874646977585555i         0.855711429314223+0.4543335900428159i
1                                                 0.9500000000000001                                -0.13971775656547386+0.2739502064301629i          0.8476625706641246+0.4323174808854897i
1                                                 0.9600000000000001                                -0.15876861100514572+0.3189694843554235i          0.836477609098305+0.41636066380430614i
1                                                 0.97                                              -0.17446091555227103+0.35389926007546685i         0.8241659237067311+0.4062871188136354i
1                                                 0.98                                              -0.18746831099896544+0.3792844563909394i          0.8122851985089007+0.4014868336076107i
1                                                 0.99                                              -0.19801204146367418+0.3958633412969078i          0.801973988500344+0.4011497966543226i
1                                                 1                                                 -0.20596076575063008+0.40440047904281495i         0.79403923424506+0.4044034000855463i
1                                                 1.01                                              -0.21094149295292228+0.40558886166615227i         0.7890470658965618+0.4103731258759119i
1                                                 1.02                                              -0.21244208946828297+0.3999953673263369i          0.7873923332882855+0.4181930237133381i
1                                                 1.03                                              -0.20990304313107572+0.388030162514805i           0.7893378242492627+0.42698845841415173i
1                                                 1.04                                              -0.2028041239250698+0.3699301240542569i           0.7950209432780755+0.4358485244570399i
1                                                 1.05                                              -0.19075340989423772+0.34575560175217945i         0.8044283980491506+0.4438031075492752i
1                                                 1.06                                              -0.17358332628449247+0.31540808837244777i         0.8173422915723223+0.4498201660671217i
1                                                 1.07                                              -0.15145068939703077+0.2786825941587495i          0.8332671500269921+0.45284056639277015i
1                                                 1.08                                              -0.12492490312703579+0.23536978051487847i         0.851358530017511+0.45186667459672525i
1                                                 1.09                                              -0.09503273493098721+0.18541405499252633i         0.870388115137226+0.44611088741831184i
1                                                 1.1                                               -0.06321773221671977+0.12911046693914194i         0.8887894936549677+0.43518642094592i
1                                                 1.11                                              -0.031181421756349477+0.06728886606791518i        0.9048189711961933+0.41928813483516936i
1                                                 1.12                                              -6.128165609999483E-4+0.001406911442414862i       0.9168258834828198+0.39928428966768825i
1                                                 1.1300000000000001                                0.027127079655883467-0.06651731769185482i         0.9235663779658412+0.37664935733097643i
1                                                 1.1400000000000001                                0.05125540963909454-0.13414350949775172i          0.9244507513432608+0.3532269280440379i
1                                                 1.1500000000000001                                0.07165556154863538-0.19914695684061537i          0.9196279777321946+0.3308933773474363i
1                                                 1.1600000000000001                                0.08877906709071451-0.25953671717206794i          0.9098834952061108+0.31124119150595464i
1                                                 1.17                                              0.10342019144576833-0.31385458696164653i          0.8964093177485004+0.2953810700541145i
1                                                 1.18                                              0.11646121915188717-0.3612229468279225i           0.8805446084279429+0.2838943811569584i
1                                                 1.19                                              0.12866879946471962-0.40127391828755926i          0.8635671668177811+0.27690316390129815i
1                                                 1.2                                               0.14057567480198496-0.434019891521199i            0.8465701902818307+0.27419723964718623i
1                                                 1.21                                              0.1524419108626397-0.459717920201i                0.8304183858382037+0.27536553041612477i
1                                                 1.22                                              0.16427053325887972-0.47875770411670027i          0.8157581773907249+0.279901422181435i
1                                                 1.23                                              0.1758511744755521-0.49158197211966825i           0.8030552740930831+0.2872728884553549i
1                                                 1.24                                              0.1868125941818055-0.49863568177127154i           0.7926398639593233+0.29696048400751923i
1                                                 1.25                                              0.19667348494775913-0.500335828712654i            0.784747878484392+0.3084710132865294i
1                                                 1.26                                              0.20488755228019168-0.497053681972193i            0.7795528619305484+0.3213348731427722i
1                                                 1.27                                              0.2108829271199049-0.4891032639025053i            0.7771864502010558+0.3350935474600395i
1                                                 1.28                                              0.21409809122224716-0.4767323916864209i           0.7777469576235206+0.3492821375660776i
1                                                 1.29                                              0.21401734184238774-0.4601150421724499i           0.7812959601362267+0.3634108882844176i
1                                                 1.3                                               0.21020877476307687-0.43934613101745335i          0.7878428448113499+0.37694963102223494i
1                                                 1.31                                              0.2023668385474226-0.4144420542903267i            0.7973177704726824+0.38931981781490643i
