% Model:              Mismatch 1D e 2D - BH.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 8 2024, 17:42
% Table:              1D T and R alpha=0.1 - 1D T and R
% Mat index                                       freq (Hz)                                         point_in * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)    point_out * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)
1                                                 0.01                                              -0.7963649141631114-0.45675773360517624i          0.1972465541500515-0.34390273786029035i
1                                                 0.02                                              -0.8843948250611174-0.41591857511858954i          0.09013468144058628-0.19165925878863457i
1                                                 0.03                                              -0.8761186713426478-0.46013447351653625i          0.06688519526905912-0.12735270183561012i
1                                                 0.04                                              -0.8412211471469475-0.5295287445911006i           0.05822584427299828-0.09249887189918382i
1                                                 0.05                                              -0.790531038205936-0.6059802153710785i            0.05389731560736461-0.070311702897289i
1                                                 0.060000000000000005                              -0.7274229759956186-0.6820874724508744i           0.051243665204272454-0.05464961746059421i
1                                                 0.06999999999999999                               -0.6536849103368265-0.7539445918581349i           0.04933498212461208-0.042774407714607866i
1                                                 0.08                                              -0.5706965739717063-0.819093799474578i            0.047777149130907616-0.033288318554562976i
1                                                 0.09                                              -0.4797488022117936-0.8758108495939816i           0.04637899781254582-0.025405335705287937i
1                                                 0.09999999999999999                               -0.3821431589106363-0.9228165514481986i           0.04503759217435205-0.018650302398844604i
1                                                 0.11                                              -0.279221333259622-0.9591478708093271i            0.04369238237624233-0.012719462380731583i
1                                                 0.12                                              -0.1723680398370443-0.9840958611678801i           0.042304720230668995-0.007409828645537998i
1                                                 0.13                                              -0.06300253699648789-0.9971737422054041i          0.04084785983455251-0.0025808128430941137i
1                                                 0.14                                              0.047435244591099324-0.9980990858319999i          0.03930170092864889+0.0018678363925268143i
1                                                 0.15000000000000002                               0.157501266836159-0.9867825135122759i             0.03764983507940348+0.006009324890797115i
1                                                 0.16                                              0.2657652615875945-0.9633190738795572i            0.03587777294140151+0.009898138600310904i
1                                                 0.17                                              0.37082911050791395-0.927980277444111i            0.0339718007974534+0.013575431478794512i
1                                                 0.18000000000000002                               0.4713451865341016-0.8812056917925105i            0.031918177491222+0.017072607974571267i
1                                                 0.19                                              0.5660342539211922-0.82359350583353i              0.02970251048974443+0.020413757809595586i
1                                                 0.2                                               0.6537026036180813-0.7558897633127909i            0.02730921380796162+0.023617338178188726i
1                                                 0.21000000000000002                               0.733258153806143-0.6789761443378188i             0.024720982650221688+0.026697347537100142i
1                                                 0.22                                              0.8037252873583683-0.5938562889776097i            0.02191823446823553+0.02966414538309003i
1                                                 0.23                                              0.8642582365392604-0.5016407351642519i            0.018878470455228977+0.03252501728341052i
1                                                 0.24000000000000002                               0.9141528649030182-0.40353059820276826i           0.015575508130005487+0.0352845495262685i
1                                                 0.25                                              0.9528567400823778-0.30080015922773573i           0.011978525159180279+0.037944855027531484i
1                                                 0.26                                              0.9799774421693609-0.19477855906460373i           0.008050835715748482+0.04050567697118262i
1                                                 0.27                                              0.9952891145032539-0.08683081549077298i           0.003748290483767555+0.04296438655610215i
1                                                 0.28                                              0.9987373427764865+0.021661602732982677i          -9.828557175917269E-4+0.04531588504385753i
1                                                 0.29000000000000004                               0.9904425539624068+0.1293203994697566i            -0.006208838374010962+0.04755241825709042i
1                                                 0.3                                               0.9707022752574023+0.23479001541599387i           -0.0120123862871378+0.049663315816522925i
1                                                 0.31                                              0.9399928136281237+0.33675685806683114i           -0.01849836873491424+0.05163468313421872i
1                                                 0.32                                              0.8989712608292639+0.4339678861647963i            -0.025801936112715935+0.0534491140127131i
